"","AITC.100uM"
"RD_190615_93_f_m3_p1_CCI_ipsi__X_2",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_4",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_5",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_7",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_9",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_11",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_13",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_14",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_15",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_16",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_18",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_20",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_21",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_24",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_25",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_27",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_28",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_31",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_33",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_34",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_36",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_37",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_38",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_40",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_42",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_43",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_44",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_46",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_47",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_48",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_49",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_50",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_52",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_53",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_54",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_56",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_57",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_58",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_59",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_61",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_63",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_64",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_65",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_66",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_67",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_69",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_70",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_71",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_72",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_74",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_75",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_76",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_77",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_78",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_79",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_80",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_83",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_84",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_85",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_86",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_87",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_88",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_89",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_92",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_94",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_95",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_96",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_98",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_100",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_101",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_103",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_105",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_106",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_107",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_108",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_109",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_110",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_111",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_112",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_114",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_116",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_117",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_118",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_119",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_120",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_121",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_122",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_124",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_126",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_127",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_128",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_130",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_131",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_133",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_134",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_135",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_136",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_137",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_138",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_139",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_140",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_141",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_142",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_143",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_145",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_146",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_147",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_148",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_149",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_150",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_152",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_154",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_155",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_156",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_157",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_158",0
